Key,en,de,reviewed
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Horizontal versetzt,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Vertikaler Versatz,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Ansichtsfenstereinstellungen zurücksetzen,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Animationsexporteinstellungen,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Standort speichern,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Voreinstellungen exportieren,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,False
MainMenu.Settings.ExportSettings.Width,Width,Breite,False
MainMenu.Settings.ExportSettings.Height,Height,Höhe,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Max. begrenzen. Frame-Anzahl,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Max. Frame-Anzahl,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Alpha-Schwelle,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Dithering aktivieren,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Exporteinstellungen zurücksetzen,False
MainMenu.Editor.Export,Export Emote,Emote exportieren,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Lizenz vom Modellersteller bereitgestellt. Wird nur als Referenz angezeigt und gibt nicht die Ansichten oder Rechtsposition des EmoteLab-Entwicklers wieder.,False
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,Lizenz nicht gefunden. Bestätigen Sie die erlaubte Nutzung mit dem Ersteller.,False
LicensePopup.Close,Close,Schließen,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,Öffnen Sie den Exportordner,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Laden Sie Beispielzeichen für integrierte Modelle,False
MainMenu.Settings.ModelSettings,Model Settings,Modelleinstellungen,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Zeichendaten werden gespeichert...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Charakter wird geladen...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Lizenzen Dritter,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Endbenutzer-Lizenzvereinbarung (EULA),False
MainMenu.Info.Documentation,Documentation,Dokumentation,False
MainMenu.Info.Discord,Join Our Discord,Treten Sie unserem Discord bei,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",Diese Voreinstellung legt das richtige Format und die richtigen Abmessungen fest. Sehr lange Animationen können die Dateigrößenbeschränkungen der Plattform überschreiten und einige Plattformen schränken bestimmte Inhalte ein.,False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Öffnen Sie den lokalen Modellordner,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Öffnen Sie den Zeichenordner,False
MainMenu.Info.Log,Open Log Folder,Öffnen Sie den Protokollordner,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Verwendung der globalen Farbtabelle,False
MainMenu.Editor.ExportStatic,Export Static Image,Statisches Bild exportieren,False
MainMenu.Editor.Player.Speed,Speed,Geschwindigkeit,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Statische Bildeinstellungen,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Statische Bildeinstellungen zurücksetzen,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Abtastrate,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Mit diesem Schalter können Sie zwischen der internen und der benutzerdefinierten Textur wechseln,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Bearbeiten Sie die PNGs im Ordner „Custom Texture“. Speichern Sie mit Transparenz und ändern Sie die Bildgröße nicht,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Nachdem Sie Ihre Änderungen gespeichert haben, klicken Sie auf diese Schaltfläche, um die Änderungen auf Ihr Modell anzuwenden.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Speichern Sie Ihren Charakter. Die Schaltfläche „Speichern“ befindet sich unterhalb der Charakterliste auf der linken Seite der Benutzeroberfläche.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,"Bitte lesen Sie das Handbuch „Verwenden benutzerdefinierter Texturen“, bevor Sie diese Funktion verwenden.",False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Benutzerdefinierte Textur,False
MainMenu.Editor.Texture.Step1,Step 1,Schritt 1,False
MainMenu.Editor.Texture.Step2,Step 2,Schritt 2,False
MainMenu.Editor.Texture.Step3,Step 3,Schritt 3,False
MainMenu.Editor.Texture.Step4,Step 4,Schritt 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Ausgewählte Kontur korrigieren,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Ausgewählten Atlas zurücksetzen,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Textur-Dienstprogramm,False
MainMenu.Editor.Texture.SelectAll,Select All,Wählen Sie „Alle“ aus,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Auswahl umschalten,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas-Liste,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Dadurch werden die ausgewählten Atlasseiten auf die integrierten Versionen zurückgesetzt. Alle nicht gespeicherten Änderungen gehen verloren und können nicht wiederhergestellt werden. Weitermachen?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palettenalgorithmus,False
